ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00658502,-0.000686678,0.0297815,0.00160507,0.0631087,-0.0538265,0.090772,-48.623,59.4142,9.7822,4.19853,1927.79,6.38464,0.0113439,0.00372531,994.713,9.98483,1,0,-0.000349965,0.00459096,0.000434794,0.00251366,0.00588386,0.0222629,0,0,1,0.009,0.009,0.075,0.25,60,0
0.00667248,-0.000731712,0.0302736,0.00162593,0.0634248,-0.053545,0.0914754,-48.3538,59.6082,9.59009,4.18419,1927.77,6.38757,0.0111743,0.00370775,994.694,9.99808,1,0,-0.000349564,0.00460886,0.000440039,0.00250873,0.00590709,0.0223092,0,0,1,0.00915,0.00915,0.075,0.25,61,0
0.00675994,-0.000776746,0.0307656,0.00164679,0.0637408,-0.0532635,0.0921788,-48.0847,59.8022,9.39797,4.16986,1927.74,6.3905,0.0110046,0.00369019,994.674,10.0113,1,0,-0.000349164,0.00462676,0.000445284,0.0025038,0.00593032,0.0223556,0,0,1,0.0093,0.0093,0.075,0.25,62,0
0.00682507,-0.000824992,0.0312073,0.00165796,0.0639504,-0.0528296,0.0926425,-47.7513,60.0659,9.31052,4.17254,1927.72,6.39595,0.0109161,0.00368108,994.637,10.0218,1,0,-0.000347911,0.00461137,0.000445,0.00250761,0.00595019,0.0223683,0,0,1,0.00945,0.00945,0.075,0.25,63,0
0.00686788,-0.000876449,0.0315987,0.00165945,0.0640534,-0.0522433,0.0928666,-47.3536,60.3992,9.32773,4.19224,1927.68,6.40393,0.0109085,0.00368043,994.583,10.0296,1,0,-0.000345808,0.00456268,0.000439186,0.00252016,0.0059667,0.0223475,0,0,1,0.0096,0.0096,0.075,0.25,64,0
0.00691068,-0.000927907,0.03199,0.00166094,0.0641564,-0.0516571,0.0930906,-46.956,60.7325,9.34494,4.21195,1927.65,6.4119,0.010901,0.00367979,994.529,10.0373,1,0,-0.000343704,0.004514,0.000433373,0.00253271,0.00598322,0.0223267,0,0,1,0.00975,0.00975,0.075,0.25,65,0
0.00695349,-0.000979364,0.0323814,0.00166243,0.0642595,-0.0510708,0.0933147,-46.5584,61.0658,9.36215,4.23165,1927.62,6.41988,0.0108935,0.00367914,994.475,10.0451,1,0,-0.0003416,0.00446531,0.000427559,0.00254526,0.00599973,0.0223058,0,0,1,0.0099,0.0099,0.075,0.25,66,0
0.00699629,-0.00103082,0.0327727,0.00166392,0.0643625,-0.0504846,0.0935388,-46.1607,61.3992,9.37936,4.25136,1927.59,6.42785,0.0108859,0.00367849,994.421,10.0529,1,0,-0.000339497,0.00441662,0.000421746,0.00255781,0.00601624,0.022285,0,0,1,0.01005,0.01005,0.075,0.25,67,0
0.0070391,-0.00108228,0.0331641,0.00166541,0.0644655,-0.0498984,0.0937628,-45.7631,61.7325,9.39657,4.27106,1927.56,6.43583,0.0108784,0.00367784,994.366,10.0606,1,0,-0.000337393,0.00436793,0.000415932,0.00257035,0.00603275,0.0222641,0,0,1,0.0102,0.0102,0.075,0.25,68,0
0.0070819,-0.00113374,0.0335554,0.0016669,0.0645686,-0.0493121,0.0939869,-45.3654,62.0658,9.41378,4.29077,1927.53,6.44381,0.0108709,0.00367719,994.312,10.0684,1,0,-0.00033529,0.00431925,0.000410119,0.0025829,0.00604927,0.0222433,0,0,1,0.01035,0.01035,0.075,0.25,69,0
